"","varnames"
"1","Laufende_Nummer"
"2","PatientID"
"3","Patient_number"
"4","V1_Datum"
"5","V5_Datum"
"6","V1_age"
"7","V5_age"
"8","sex"
"9","height"
"10","V1_weight"
"11","V5_weight"
"12","V1_bmi"
"13","V5_bmi"
"14","RA"
"15","PraeRA"
"16","V1_RF"
"17","V1_AntiCCP"
"18","V1_MCV_AK"
"19","V5_RF"
"20","V5_AntiCCP"
"21","V5_MCV_AK"
"22","V1_VitD_Spielgel"
"23","V5_VitD_Spielgel"
"24","V1_DAS_1_druckschmerzhaft"
"25","V1_DAS_2_geschwollen"
"26","V1_DAS_Score"
"27","V1_ESR"
"28","V1_CRP"
"29","V5_DAS_1_druckschmerzhaft"
"30","V5_DAS_2_geschwollen"
"31","V5_DAS_Score"
"32","V5_ESR"
"33","V5_CRP"
"34","V1_prae_COMP"
"35","V1_0_COMP"
"36","V1_30_COMP"
"37","V1_60_COMP"
"38","V1_120_COMP"
"39","V5_prae_COMP"
"40","V5_0_COMP"
"41","V5_30_COMP"
"42","V5_60_COMP"
"43","V5_120_COMP"
"44","V1_IPAQ_LeisureTime_W_h"
"45","V1_IPAQ_LeisureTime_W_min"
"46","V1_IPAQ_LeisureTime_W_days"
"47","V1_IPAQ_LeisureTime_W_MET"
"48","V1_IPAQ_LeisureTime_M_h"
"49","V1_IPAQ_LeisureTime_M_min"
"50","V1_IPAQ_LeisureTime_M_days"
"51","V1_IPAQ_LeisureTime_M_MET"
"52","V1_IPAQ_LeisureTime_V_h"
"53","V1_IPAQ_LeisureTime_V_min"
"54","V1_IPAQ_LeisureTime_V_days"
"55","V1_IPAQ_LeisureTime_V_MET"
"56","V1_IPAQ_LeisureTimeTotal_MET"
"57","V1_IPAQ_DomesticAndGardening_M_yard_h"
"58","V1_IPAQ_DomesticAndGardening_M_yard_min"
"59","V1_IPAQ_DomesticAndGardening_M_yard_days"
"60","V1_IPAQ_DomesticAndGardening_M_yard_MET"
"61","V1_IPAQ_DomesticAndGardening_M_inside_h"
"62","V1_IPAQ_DomesticAndGardening_M_inside_min"
"63","V1_IPAQ_DomesticAndGardening_M_inside_days"
"64","V1_IPAQ_DomesticAndGardening_M_inside_MET"
"65","V1_IPAQ_DomesticAndGardening_V_h"
"66","V1_IPAQ_DomesticAndGardening_V_min"
"67","V1_IPAQ_DomesticAndGardening_V_days"
"68","V1_IPAQ_DomesticAndGardening_V_MET"
"69","V1_IPAQ_DomesticAndGardening_Total_MET"
"70","V1_IPAQ_WorkRelated_W_h"
"71","V1_IPAQ_WorkRelated_W_min"
"72","V1_IPAQ_WorkRelated_W_days"
"73","V1_IPAQ_WorkRelated_W_MET"
"74","V1_IPAQ_WorkRelated_M_h"
"75","V1_IPAQ_WorkRelated_M_min"
"76","V1_IPAQ_WorkRelated_M_days"
"77","V1_IPAQ_WorkRelated_M_MET"
"78","V1_IPAQ_WorkRelated_V_h"
"79","V1_IPAQ_WorkRelated_V_min"
"80","V1_IPAQ_WorkRelated_V_days"
"81","V1_IPAQ_WorkRelated_V_MET"
"82","V1_IPAQ_WorkRelated_Total_MET"
"83","V1_IPAQ_TransportRelated_W_h"
"84","V1_IPAQ_TransportRelated_W_min"
"85","V1_IPAQ_TransportRelated_W_days"
"86","V1_IPAQ_TransportRelated_W_MET"
"87","V1_IPAQ_TransportRelated_Cycle_h"
"88","V1_IPAQ_TransportRelated_Cycle_min"
"89","V1_IPAQ_TransportRelated_Cycle_days"
"90","V1_IPAQ_TransportRelated_Cycle_MET"
"91","V1_IPAQ_TransportRelated_PublicTransports_h"
"92","V1_IPAQ_TransportRelated_PublicTransports_min"
"93","V1_IPAQ_TransportRelated_PublicTransports_days"
"94","V1_IPAQ_TransportRelated_Total_MET"
"95","V1_IPAQ_TotaltWalking_MET"
"96","V1_IPAQ_Total_M_MET"
"97","V1_IPAQ_Total_V_MET"
"98","V1_IPAQ_TotalPhysicalActivityMET"
"99","V1_IPAQ_Sitting_Weekday_h"
"100","V1_IPAQ_Sitting_Weekday_min"
"101","V1_IPAQ_Sitting_WeekendDay_h"
"102","V1_IPAQ_Sitting_WeekendDay_min"
"103","V1_IPAQ_SittingTotal_min_week"
"104","V1_IPAQ_Sitting_Travel_h"
"105","V1_IPAQ_Sitting_Travel_min"
"106","V1_IPAQ_Sitting_Total_min"
"107","V1_IPAQ_AverageSitting_Total_min_day"
"108","V5_IPAQ_LeisureTime_W_h"
